,id
0,1354492646169792512
1,1366316364915425281
2,1410878415834583045
3,1422483720699846658
4,1387523586295058432
5,1420307461244956675
6,1452659161351659521
7,1396400223556153346
8,1381368071722569731
9,1368511035020210180
10,1388161780820578314
11,1458884764186947585
12,1383687895827968003
13,1367520240746307586
14,1363762267532197890
15,1387368496305086466
16,1393588238170804231
17,1356923063196082177
18,1459317619362779141
19,1361669482444328967
20,1350069202745511938
21,1441167270009470978
22,1357405118036123649
23,1376196708820979712
24,1362140742165086212
25,1432856564776407044
26,1421489594743369732
27,1423683171095351296
28,1465013380389867525
29,1391405892306939904
30,1376657525714657281
31,1446670337597337605
32,1356973342029475848
33,1389709497732681729
34,1392211341553897476
35,1468853896671993860
36,1366268626010075136
37,1432749230955892744
38,1361351669309706240
39,1465718599784538117
40,1430269819710889994
41,1475125258822770697
42,1360872987596107776
43,1426110413628796929
44,1347957439434534912
45,1363020600026009601
46,1468410561436160001
47,1394860366878986242
48,1460645072840577028
49,1380069661774131201
50,1412624940210216962
51,1471329242109685765
52,1400271060147347457
53,1390372534873382915
54,1362826560319938563
55,1378352601066954756
56,1353960001279168512
57,1465076857393475585
58,1473460792985018374
59,1438173248932483072
60,1363257729687687180
61,1402642360459304964
62,1392939550238904320
63,1374306973936668675
64,1388870896966832129
65,1376888327622643718
66,1361526598357446658
67,1468009077833826307
68,1469326481461583875
69,1423963990380748803
70,1370337845701963785
71,1425359259093684225
72,1426200709549207555
73,1403218260439429126
74,1402398146752176128
75,1406601027566981128
76,1456994815934140418
77,1387581743297974273
78,1426297130696814595
79,1374875344013037571
80,1376867021862928384
81,1380868484490428418
82,1461432710627426307
83,1418212590681952258
84,1383389785591451658
85,1414224927050371073
86,1413125731442257924
87,1372794243559817216
88,1399886244214153217
89,1439739286794952704
90,1461872000993951746
91,1420821437481463823
92,1440390557818183689
93,1466902131311534081
94,1388216323625439233
95,1390238721530814470
96,1459929131873816576
97,1452618467174141954
98,1362719006063476739
99,1345703529487470594
100,1359957123522719745
101,1452220871024721940
102,1404244064808099842
103,1345041646614958087
104,1359792775731048449
105,1418760600067485696
106,1465760215991783427
107,1443970614491074565
108,1351728260196007936
109,1472495105961517058
110,1415474305287196673
111,1456287171405656066
112,1345436008813363201
113,1349386744240734210
114,1455753890926837760
115,1406643414570049546
116,1398556113247772676
117,1385616727329972229
118,1469728712677629954
119,1397068898617417729
120,1430887206730690570
121,1462067148566769665
122,1429293519055826947
123,1367832067879362566
124,1413943779728392194
125,1423963599383449606
126,1404165414809227265
127,1446142069920178181
128,1440480539081805836
129,1469110678032113664
130,1390794873221967873
131,1360078125418356736
132,1400890232090861569
133,1455285279594528780
134,1361419575091322881
135,1433278592385908737
136,1414422716552261632
137,1354474358429921285
138,1410524200817864704
139,1404605214691315715
140,1364665162955853826
141,1468719044974968833
142,1449210687541108738
143,1405286219211186183
144,1475843987726471169
145,1365006734327177216
146,1415844855050391552
147,1365735046636859397
148,1367613449535172608
149,1433316438182346752
150,1447508145182478346
151,1366389619491827715
152,1390539546605940738
153,1415715112229478400
154,1353794778782191618
155,1435811022540005377
156,1376355523507806212
157,1365131423787724800
158,1466450631804297218
159,1443616240153415681
160,1360709586836160516
161,1422202529572474883
162,1445883405598662666
163,1464815049210531840
164,1387379950920024068
165,1423985879790481420
166,1358033347411206146
167,1402535957396660229
168,1425987595561996289
169,1353811724848279553
170,1363479721116229632
171,1461115475157340164
172,1423621817877647361
173,1451491633686515713
174,1385543570220793856
175,1473215261201293313
176,1442734199488778242
177,1357707495834345473
178,1400965598801272833
179,1354112908695900161
180,1350565725426102274
181,1453020404415672339
182,1399380237692149761
183,1449845952798330882
184,1470378189801275392
185,1461427056957276161
186,1386266669790613507
187,1450053302754873347
188,1366124328765382656
189,1361435606295994369
190,1401892096936615937
191,1376257767862804480
192,1396154328591777793
193,1452365538051637250
194,1433706438686396416
195,1399908631093579778
196,1477015976994500610
197,1397430635434807302
198,1392630719952920579
199,1388214711074934786
200,1400093786684854278
201,1408373907288174592
202,1362994748823322628
203,1404160704047951876
